DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Apr-2026,EQ,"1,426.80","1,477.90","1,421.00","1,475.30","1,465.10","1,465.30","1,460.23","1,584.00","1,179.00",3629785,"5,30,03,21,198.40",105717
10-Apr-2026,EQ,"1,442.00","1,478.10","1,438.30","1,447.40","1,474.10","1,475.30","1,463.95","1,584.00","1,041.50",4026881,"5,89,51,37,965.50",93344
09-Apr-2026,EQ,"1,437.00","1,456.20","1,415.20","1,453.30","1,442.20","1,447.40","1,440.93","1,584.00","1,041.50",3159307,"4,55,23,52,494.10",128134
08-Apr-2026,EQ,"1,464.90","1,505.70","1,449.00","1,381.00","1,452.00","1,453.30","1,468.42","1,584.00","1,041.50",7636467,"11,21,35,12,641.00",209499
07-Apr-2026,EQ,"1,375.00","1,390.00","1,368.40","1,387.10","1,382.00","1,381.00","1,378.77","1,584.00","1,041.50",1812944,"2,49,96,32,677.60",72924
06-Apr-2026,EQ,"1,379.80","1,391.80","1,348.10","1,377.60","1,390.60","1,387.10","1,369.23","1,584.00","1,041.50",2519628,"3,44,99,56,575.10",88893
02-Apr-2026,EQ,"1,354.40","1,384.20","1,332.60","1,385.40","1,380.00","1,377.60","1,358.08","1,584.00","1,041.50",3210456,"4,36,00,69,079.50",104270
01-Apr-2026,EQ,"1,351.20","1,405.40","1,348.70","1,312.60","1,386.50","1,385.40","1,382.31","1,584.00","1,041.50",3684039,"5,09,24,78,442.20",103786
30-Mar-2026,EQ,"1,325.00","1,337.30","1,307.10","1,337.80","1,312.00","1,312.60","1,319.33","1,584.00","1,041.50",2856500,"3,76,86,77,724.20",110016
27-Mar-2026,EQ,"1,375.00","1,375.00","1,330.10","1,375.90","1,339.90","1,337.80","1,343.11","1,584.00","1,041.50",2667313,"3,58,24,97,152.40",110962
25-Mar-2026,EQ,"1,359.70","1,392.70","1,354.80","1,344.20","1,376.00","1,375.90","1,381.38","1,584.00","1,041.50",1856531,"2,56,45,72,583.30",100144
24-Mar-2026,EQ,"1,343.00","1,361.00","1,313.60","1,303.60","1,345.00","1,344.20","1,336.85","1,584.00","1,041.50",3132212,"4,18,73,07,200.10",108511
23-Mar-2026,EQ,"1,350.00","1,350.00","1,293.50","1,365.40","1,307.00","1,303.60","1,308.23","1,584.00","1,041.50",3361416,"4,39,75,06,422.30",169409
20-Mar-2026,EQ,"1,364.90","1,393.50","1,358.00","1,356.00","1,368.00","1,365.40","1,368.51","1,584.00","1,041.50",4213342,"5,76,60,18,339.40",98060
19-Mar-2026,EQ,"1,377.00","1,379.60","1,350.50","1,401.90","1,360.00","1,356.00","1,364.98","1,584.00","1,041.50",2160622,"2,94,91,98,209.20",111964
18-Mar-2026,EQ,"1,367.10","1,411.10","1,367.10","1,365.50","1,401.80","1,401.90","1,396.43","1,584.00","1,041.50",1956685,"2,73,23,82,798.00",82283
17-Mar-2026,EQ,"1,379.00","1,379.00","1,351.20","1,373.90","1,369.00","1,365.50","1,363.76","1,584.00","1,041.50",2605905,"3,55,38,24,124.00",101502
16-Mar-2026,EQ,"1,356.60","1,383.10","1,347.00","1,363.20","1,372.40","1,373.90","1,368.68","1,584.00","1,041.50",3322087,"4,54,68,77,038.20",126449
13-Mar-2026,EQ,"1,388.70","1,390.00","1,354.00","1,391.50","1,368.80","1,363.20","1,365.19","1,584.00","1,041.50",2688559,"3,67,03,96,405.50",142681
12-Mar-2026,EQ,"1,402.50","1,418.60","1,375.30","1,410.80","1,392.00","1,391.50","1,398.43","1,584.00","1,041.50",2699173,"3,77,46,15,043.60",114814
11-Mar-2026,EQ,"1,425.00","1,454.90","1,405.70","1,424.10","1,412.00","1,410.80","1,430.35","1,584.00","1,041.50",2212011,"3,16,39,48,218.60",101067
10-Mar-2026,EQ,"1,450.00","1,470.30","1,416.50","1,421.30","1,428.00","1,424.10","1,428.09","1,584.00","1,041.50",2706284,"3,86,48,12,414.70",88266
09-Mar-2026,EQ,"1,405.00","1,436.10","1,405.00","1,477.50","1,424.90","1,421.30","1,420.26","1,584.00","1,041.50",4874245,"6,92,26,98,902.00",175170
06-Mar-2026,EQ,"1,489.00","1,497.80","1,470.00","1,499.30","1,475.60","1,477.50","1,484.42","1,584.00","1,036.50",2576061,"3,82,39,51,021.00",104279
05-Mar-2026,EQ,"1,447.20","1,505.50","1,447.20","1,434.40","1,489.20","1,499.30","1,478.87","1,584.00","1,036.50",3236481,"4,78,63,31,529.40",106475
04-Mar-2026,EQ,"1,435.00","1,450.50","1,409.00","1,470.30","1,436.60","1,434.40","1,429.74","1,584.00","1,036.50",3386838,"4,84,23,12,139.00",125131
02-Mar-2026,EQ,"1,462.00","1,497.30","1,430.00","1,521.00","1,468.90","1,470.30","1,464.56","1,584.00","1,036.50",4207514,"6,16,21,64,379.50",173392
27-Feb-2026,EQ,"1,545.00","1,545.10","1,516.20","1,550.60","1,519.90","1,521.00","1,528.31","1,584.00","1,036.50",1596106,"2,43,93,49,114.10",55578
26-Feb-2026,EQ,"1,537.60","1,554.60","1,526.00","1,528.70","1,548.00","1,550.60","1,542.74","1,584.00","1,036.50",1353287,"2,08,77,71,724.30",69039
25-Feb-2026,EQ,"1,567.00","1,584.00","1,518.50","1,555.40","1,529.00","1,528.70","1,545.77","1,584.00","1,036.50",2153982,"3,32,95,50,144.50",74386
24-Feb-2026,EQ,"1,553.70","1,564.00","1,536.40","1,555.80","1,561.90","1,555.40","1,547.84","1,583.90","1,036.50",1360612,"2,10,60,09,751.40",57521
23-Feb-2026,EQ,"1,511.00","1,564.50","1,510.80","1,511.50","1,554.00","1,555.80","1,550.49","1,583.90","1,036.50",3113728,"4,82,78,05,577.30",98084
20-Feb-2026,EQ,"1,513.30","1,529.20","1,505.20","1,513.30","1,515.30","1,511.50","1,515.25","1,583.90","1,036.50",1126987,"1,70,76,71,457.20",32537
19-Feb-2026,EQ,"1,550.00","1,550.80","1,506.70","1,550.80","1,511.70","1,513.30","1,529.51","1,583.90","1,036.50",984392,"1,50,56,40,782.20",44344
18-Feb-2026,EQ,"1,565.00","1,565.00","1,540.00","1,566.30","1,550.00","1,550.80","1,549.12","1,583.90","1,036.50",1326139,"2,05,43,49,550.50",47674
17-Feb-2026,EQ,"1,545.00","1,576.50","1,535.70","1,540.10","1,562.60","1,566.30","1,563.33","1,583.90","1,036.50",3168457,"4,95,33,33,820.30",68993
16-Feb-2026,EQ,"1,517.50","1,545.50","1,495.30","1,519.00","1,538.00","1,540.10","1,524.37","1,583.90","1,036.50",1644108,"2,50,62,22,426.90",64622
13-Feb-2026,EQ,"1,543.00","1,543.00","1,507.00","1,543.70","1,508.00","1,519.00","1,519.98","1,583.90","1,036.50",1838361,"2,79,42,69,577.90",67996
12-Feb-2026,EQ,"1,542.10","1,551.00","1,532.50","1,553.40","1,543.40","1,543.70","1,540.72","1,583.90","1,036.50",1107584,"1,70,64,75,035.40",50330
11-Feb-2026,EQ,"1,554.70","1,559.40","1,539.20","1,554.70","1,548.20","1,553.40","1,548.61","1,583.90","1,036.50",1359416,"2,10,52,11,900.40",44332
10-Feb-2026,EQ,"1,565.00","1,568.00","1,525.00","1,561.70","1,550.00","1,554.70","1,551.93","1,583.90","1,036.50",1643366,"2,55,03,88,390.10",56747
09-Feb-2026,EQ,"1,575.90","1,583.90","1,554.50","1,550.70","1,557.00","1,561.70","1,564.02","1,583.90","1,036.50",1761025,"2,75,42,77,729.20",54926
06-Feb-2026,EQ,"1,563.00","1,575.50","1,527.00","1,570.20","1,549.50","1,550.70","1,559.05","1,577.70","1,036.50",4429173,"6,90,53,14,954.60",69792
05-Feb-2026,EQ,"1,568.00","1,577.70","1,548.60","1,567.90","1,566.50","1,570.20","1,564.43","1,577.70","1,036.50",3285127,"5,13,93,49,516.50",87496
04-Feb-2026,EQ,"1,529.90","1,572.30","1,508.50","1,530.80","1,565.20","1,567.90","1,547.39","1,572.30","1,036.50",6632728,"10,26,33,89,033.60",137551
