DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Apr-2026,EQ,"416.00","424.90","406.80","428.60","423.15","420.70","416.23","850.00","338.15",792292,"32,97,72,543.50",27402
10-Apr-2026,EQ,"425.00","435.95","421.00","423.30","425.85","428.60","430.44","850.00","338.15",993582,"42,76,77,627.60",31013
09-Apr-2026,EQ,"407.00","425.45","403.60","407.20","422.55","423.30","417.97","850.00","338.15",1428855,"59,72,19,881.20",41219
08-Apr-2026,EQ,"395.20","411.50","381.50","374.20","406.10","407.20","398.95","850.00","338.15",3486356,"1,39,08,76,404.35",69378
07-Apr-2026,EQ,"356.00","376.60","354.55","356.95","375.00","374.20","369.04","850.00","338.15",2911561,"1,07,44,92,834.00",73370
06-Apr-2026,EQ,"365.00","365.95","353.75","360.60","359.00","356.95","356.97","850.00","338.15",1192653,"42,57,42,462.60",43464
02-Apr-2026,EQ,"354.90","362.35","348.80","360.05","361.00","360.60","357.07","850.00","338.15",955106,"34,10,39,471.55",32801
01-Apr-2026,EQ,"369.15","370.80","359.10","352.95","359.10","360.05","364.82","850.00","338.15",1018677,"37,16,32,431.05",43216
30-Mar-2026,EQ,"369.00","369.25","350.30","376.70","352.95","352.95","360.48","850.00","338.15",1734290,"62,51,81,698.30",39009
27-Mar-2026,EQ,"374.40","385.50","369.00","382.60","375.00","376.70","379.47","850.00","338.15",2165742,"82,18,44,833.35",42482
25-Mar-2026,EQ,"366.90","398.90","361.65","364.55","382.50","382.60","388.32","850.00","338.15",5852703,"2,27,27,29,494.10",112430
24-Mar-2026,EQ,"354.75","373.60","347.45","347.30","363.95","364.55","365.55","850.00","338.15",2357054,"86,16,13,418.75",58218
23-Mar-2026,EQ,"349.00","351.00","338.15","350.65","349.10","347.30","345.52","850.00","338.15",1172905,"40,52,57,873.70",27263
20-Mar-2026,EQ,"362.00","364.85","350.00","355.20","350.10","350.65","355.17","850.00","343.25",962079,"34,16,97,370.10",26735
19-Mar-2026,EQ,"369.00","370.85","354.00","376.80","358.00","355.20","361.59","850.00","343.25",1145373,"41,41,56,368.20",35328
18-Mar-2026,EQ,"359.80","382.10","357.10","355.25","376.00","376.80","372.79","850.00","343.25",2944184,"1,09,75,67,049.80",80019
17-Mar-2026,EQ,"360.45","361.25","349.25","358.15","356.00","355.25","353.45","850.00","343.25",900435,"31,82,60,680.30",28234
16-Mar-2026,EQ,"353.00","362.10","347.95","353.20","357.70","358.15","352.71","850.00","343.25",1022389,"36,06,10,132.50",35062
13-Mar-2026,EQ,"367.00","368.00","343.25","368.85","354.30","353.20","351.28","850.00","343.25",2897629,"1,01,78,83,973.25",75725
12-Mar-2026,EQ,"380.50","380.60","364.55","380.60","368.95","368.85","370.13","850.00","364.55",1761189,"65,18,72,890.45",41766
11-Mar-2026,EQ,"390.35","392.35","380.00","387.90","381.00","380.60","386.84","850.00","380.00",656537,"25,39,74,321.60",19467
10-Mar-2026,EQ,"388.80","396.15","383.15","384.10","387.90","387.90","389.78","850.00","381.25",968445,"37,74,81,898.75",25057
09-Mar-2026,EQ,"400.00","400.25","381.25","406.35","385.00","384.10","387.36","850.00","381.25",1087207,"42,11,40,213.50",34464
06-Mar-2026,EQ,"410.40","412.70","404.05","408.05","404.90","406.35","408.51","850.00","398.00",464616,"18,97,99,581.90",14933
05-Mar-2026,EQ,"401.85","415.00","400.15","399.45","409.25","408.05","404.00","850.00","398.00",760071,"30,70,72,459.85",38512
04-Mar-2026,EQ,"400.25","406.50","398.00","407.80","399.50","399.45","401.24","850.00","398.00",811467,"32,55,89,685.95",30372
02-Mar-2026,EQ,"402.00","410.00","399.00","417.15","408.60","407.80","405.56","850.00","399.00",618806,"25,09,62,294.70",22219
27-Feb-2026,EQ,"422.05","424.00","416.00","423.60","416.90","417.15","418.13","850.00","416.00",1013333,"42,37,06,889.90",34892
26-Feb-2026,EQ,"426.35","434.60","421.40","426.35","424.00","423.60","425.87","850.00","420.55",788589,"33,58,32,616.40",30850
25-Feb-2026,EQ,"426.00","429.30","423.55","426.15","425.15","426.35","426.34","850.00","420.55",1217294,"51,89,77,320.25",19276
