Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,13-Apr-2026,13-Apr-2026,CE,23800.00,87.70,115.00,12.40,43.80,42.55,23842.65,19676155.00,305068273.70,678155.85,5660070.00,4330235.00,23842.65
NIFTY,10-Apr-2026,13-Apr-2026,CE,23800.00,221.45,333.20,208.30,307.95,311.85,307.95,983085.00,15379630.92,171305.97,1329835.00,-1999270.00,24050.60
NIFTY,09-Apr-2026,13-Apr-2026,CE,23800.00,340.90,340.90,151.50,196.45,200.90,196.45,1753925.00,27379758.98,246539.23,3329105.00,1992900.00,23775.10
NIFTY,08-Apr-2026,13-Apr-2026,CE,23800.00,248.00,363.00,212.20,337.55,354.30,337.55,757102.00,11863643.89,151275.95,1336205.00,-198120.00,23997.35
NIFTY,07-Apr-2026,13-Apr-2026,CE,23800.00,55.00,83.00,42.50,74.35,81.00,74.35,111838.00,1734641.62,4507.76,1534325.00,763685.00,23123.65
NIFTY,06-Apr-2026,13-Apr-2026,CE,23800.00,57.95,90.85,35.80,85.80,89.00,85.80,60098.00,932062.48,2346.42,770640.00,464230.00,22968.25
NIFTY,02-Apr-2026,13-Apr-2026,CE,23800.00,58.00,68.35,30.60,61.25,60.90,61.25,24881.00,385671.44,762.37,306410.00,132405.00,22713.10
NIFTY,01-Apr-2026,13-Apr-2026,CE,23800.00,130.35,139.00,75.90,84.45,83.70,84.45,12633.00,196279.78,847.27,174005.00,94055.00,22679.40
NIFTY,30-Mar-2026,13-Apr-2026,CE,23800.00,117.30,164.95,83.30,91.30,91.10,91.30,5425.00,84322.06,397.31,79950.00,47255.00,22331.40
NIFTY,27-Mar-2026,13-Apr-2026,CE,23800.00,239.75,260.95,194.60,199.55,200.50,199.55,1444.00,22550.54,211.86,32695.00,13000.00,22819.60
NIFTY,25-Mar-2026,13-Apr-2026,CE,23800.00,273.00,376.30,273.00,315.35,321.20,315.35,894.00,14024.78,194.60,19695.00,12610.00,23306.45
NIFTY,24-Mar-2026,13-Apr-2026,CE,23800.00,198.75,254.15,169.95,224.75,235.60,224.75,636.00,9928.80,89.88,7085.00,-8125.00,22912.40
NIFTY,23-Mar-2026,13-Apr-2026,CE,23800.00,160.00,197.20,159.85,175.00,169.00,175.00,592.00,9227.02,68.78,15210.00,9295.00,22512.65
NIFTY,20-Mar-2026,13-Apr-2026,CE,23800.00,242.00,312.00,242.00,266.45,264.80,266.45,108.00,1691.01,20.25,5915.00,-650.00,23114.50
NIFTY,19-Mar-2026,13-Apr-2026,CE,23800.00,286.30,297.90,220.05,241.95,260.10,241.95,221.00,3457.33,38.46,6565.00,390.00,23002.15
NIFTY,18-Mar-2026,13-Apr-2026,CE,23800.00,464.00,530.00,430.00,472.15,471.65,472.15,210.00,3315.38,66.68,6175.00,4940.00,23777.80
NIFTY,17-Mar-2026,13-Apr-2026,CE,23800.00,431.20,439.15,360.00,439.15,439.15,268.20,10.00,157.38,2.68,1235.00,65.00,23581.15
NIFTY,16-Mar-2026,13-Apr-2026,CE,23800.00,343.10,430.00,319.55,430.00,430.00,205.20,12.00,188.40,2.76,1170.00,390.00,23408.80
NIFTY,13-Mar-2026,13-Apr-2026,CE,23800.00,444.75,444.75,396.75,396.75,396.75,140.65,3.00,47.21,0.80,780.00,-,23151.10
NIFTY,12-Mar-2026,13-Apr-2026,CE,23800.00,656.35,706.80,567.05,574.25,567.05,574.25,12.00,190.91,5.27,780.00,455.00,23639.15
NIFTY,11-Mar-2026,13-Apr-2026,CE,23800.00,740.00,740.00,706.80,719.35,706.80,719.35,5.00,79.69,2.34,325.00,325.00,23866.85
