Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,13-Apr-2026,13-Apr-2026,PE,23800.00,165.15,254.05,0.05,1.15,0.05,23842.65,27166088.00,420677354.22,417972.86,26876395.00,22136790.00,23842.65
NIFTY,10-Apr-2026,13-Apr-2026,PE,23800.00,189.90,189.90,53.10,60.25,60.35,60.25,3109656.00,48266413.19,160034.87,4739605.00,1674790.00,24050.60
NIFTY,09-Apr-2026,13-Apr-2026,PE,23800.00,147.70,260.90,125.00,192.05,190.70,192.05,2494322.00,38893979.74,306818.40,3064815.00,-164450.00,23775.10
NIFTY,08-Apr-2026,13-Apr-2026,PE,23800.00,239.95,309.05,114.00,131.20,116.05,131.20,1244716.00,19387686.22,131929.70,3229265.00,3071640.00,23997.35
NIFTY,07-Apr-2026,13-Apr-2026,PE,23800.00,1008.00,1059.00,741.00,763.15,748.00,763.15,3332.00,53308.95,1762.91,157625.00,121355.00,23123.65
NIFTY,06-Apr-2026,13-Apr-2026,PE,23800.00,1189.95,1235.50,843.60,874.00,880.90,874.00,625.00,10118.27,449.52,36270.00,22360.00,22968.25
NIFTY,02-Apr-2026,13-Apr-2026,PE,23800.00,1525.00,1585.00,1113.00,1146.90,1113.00,1146.90,245.00,4033.09,242.94,13910.00,4420.00,22713.10
NIFTY,01-Apr-2026,13-Apr-2026,PE,23800.00,1038.50,1146.40,945.00,1115.00,1115.00,1085.85,136.00,2192.34,88.42,9490.00,3445.00,22679.40
NIFTY,30-Mar-2026,13-Apr-2026,PE,23800.00,1350.00,1487.90,1150.00,1487.40,1487.90,1487.40,71.00,1157.81,59.44,6045.00,2405.00,22331.40
NIFTY,27-Mar-2026,13-Apr-2026,PE,23800.00,880.00,1131.55,880.00,1129.60,1131.55,1129.60,8.00,128.92,5.16,3640.00,-65.00,22819.60
NIFTY,25-Mar-2026,13-Apr-2026,PE,23800.00,818.00,822.00,667.90,753.95,753.95,753.95,89.00,1420.38,43.55,3705.00,-325.00,23306.45
NIFTY,24-Mar-2026,13-Apr-2026,PE,23800.00,-,-,-,1348.00,1348.00,867.05,-,-,-,4030.00,-,22912.40
NIFTY,23-Mar-2026,13-Apr-2026,PE,23800.00,952.80,1350.00,952.80,1348.00,1348.00,1228.70,6.00,97.78,4.96,4030.00,-130.00,22512.65
NIFTY,20-Mar-2026,13-Apr-2026,PE,23800.00,781.30,853.30,688.00,839.60,853.30,839.60,77.00,1228.33,37.14,4160.00,130.00,23114.50
NIFTY,19-Mar-2026,13-Apr-2026,PE,23800.00,669.00,991.25,621.00,933.00,848.25,933.00,208.00,3316.96,99.20,4030.00,-5915.00,23002.15
NIFTY,18-Mar-2026,13-Apr-2026,PE,23800.00,463.00,482.05,388.25,420.65,429.65,420.65,322.00,5072.28,90.94,9945.00,9360.00,23777.80
NIFTY,17-Mar-2026,13-Apr-2026,PE,23800.00,580.05,580.05,523.95,523.95,523.95,390.45,14.00,221.63,5.05,585.00,390.00,23581.15
NIFTY,16-Mar-2026,13-Apr-2026,PE,23800.00,719.00,719.00,719.00,719.00,719.00,719.00,2.00,31.87,0.93,195.00,-130.00,23408.80
NIFTY,13-Mar-2026,13-Apr-2026,PE,23800.00,532.65,837.00,532.65,837.00,837.00,678.65,16.00,254.94,7.42,325.00,65.00,23151.10
NIFTY,12-Mar-2026,13-Apr-2026,PE,23800.00,589.80,589.80,532.65,532.65,532.65,372.50,8.00,126.74,2.98,260.00,260.00,23639.15
NIFTY,11-Mar-2026,13-Apr-2026,PE,23800.00,-,-,-,190.80,-,270.60,-,-,-,-,-,23866.85
