DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Apr-2026,EQ,"709.00","717.45","700.00","704.45","704.95","704.70","707.23","832.40","545.50",214669,"15,18,20,269.30",10637
27-Apr-2026,EQ,"660.00","710.00","655.00","642.85","709.85","704.45","697.25","832.40","545.50",1056574,"73,67,00,952.40",37808
24-Apr-2026,EQ,"663.50","668.90","632.05","663.10","643.95","642.85","642.27","832.40","545.50",578007,"37,12,38,697.60",9681
23-Apr-2026,EQ,"657.00","669.00","650.10","656.00","664.00","663.10","661.31","832.40","545.50",166036,"10,98,00,984.45",10210
22-Apr-2026,EQ,"621.75","660.00","620.00","620.75","657.10","656.00","647.31","832.40","545.50",403554,"26,12,23,423.10",16136
21-Apr-2026,EQ,"624.75","629.90","618.00","619.80","622.00","620.75","623.82","832.40","545.50",85207,"5,31,53,488.00",4229
20-Apr-2026,EQ,"647.00","651.00","615.10","638.50","615.10","619.80","630.93","832.40","545.50",224937,"14,19,18,740.50",9244
17-Apr-2026,EQ,"635.00","665.60","619.35","628.30","656.00","638.50","634.12","832.40","545.50",199636,"12,65,92,921.20",6908
16-Apr-2026,EQ,"638.45","644.90","625.35","635.35","630.70","628.30","630.63","832.40","545.50",90947,"5,73,53,968.25",4665
15-Apr-2026,EQ,"646.00","653.20","631.30","637.55","635.95","635.35","641.73","832.40","545.50",110606,"7,09,79,398.45",6853
13-Apr-2026,EQ,"617.00","642.40","617.00","638.75","639.00","637.55","634.06","832.40","545.50",84800,"5,37,68,628.60",4689
10-Apr-2026,EQ,"634.95","645.00","631.65","628.55","638.50","638.75","640.57","832.40","545.50",57243,"3,66,68,286.90",3246
09-Apr-2026,EQ,"628.00","640.15","624.65","636.95","626.70","628.55","631.90","832.40","545.50",71467,"4,51,60,004.25",4438
08-Apr-2026,EQ,"642.25","642.25","621.90","610.70","639.00","636.95","632.88","832.40","545.50",101194,"6,40,44,043.50",4105
