DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Apr-2026,EQ,"149.99","150.90","148.00","149.38","149.50","150.02","149.73","161.48","111.00",142955,"2,14,04,783.47",2040
27-Apr-2026,EQ,"145.20","150.65","144.96","145.20","149.00","149.38","148.72","161.48","111.00",193002,"2,87,03,996.95",2269
24-Apr-2026,EQ,"145.00","146.21","142.40","145.55","144.61","145.20","144.22","161.48","111.00",129722,"1,87,08,561.42",2371
23-Apr-2026,EQ,"148.50","148.50","144.05","148.79","146.55","145.55","146.03","161.48","111.00",236773,"3,45,75,740.09",5210
22-Apr-2026,EQ,"146.94","149.35","145.99","146.94","148.32","148.79","148.05","161.48","111.00",206888,"3,06,29,135.32",3953
21-Apr-2026,EQ,"144.18","148.00","142.30","144.18","148.00","146.94","145.73","161.48","111.00",337143,"4,91,31,249.30",4807
20-Apr-2026,EQ,"144.00","145.00","141.50","144.05","144.25","144.18","143.54","161.48","111.00",185055,"2,65,62,296.36",3946
17-Apr-2026,EQ,"143.45","145.82","141.50","143.83","143.65","144.05","143.12","161.48","111.00",172836,"2,47,35,620.38",4138
16-Apr-2026,EQ,"139.26","144.88","138.37","139.26","143.40","143.83","141.41","161.48","111.00",424332,"6,00,06,580.61",7104
15-Apr-2026,EQ,"137.40","139.93","136.10","134.02","139.00","139.26","138.24","161.48","111.00",325527,"4,50,00,708.93",3682
13-Apr-2026,EQ,"133.50","135.44","129.10","133.77","132.51","134.02","133.60","161.48","111.00",151390,"2,02,25,011.17",2155
10-Apr-2026,EQ,"135.27","138.00","132.96","135.27","134.58","133.77","134.66","161.48","100.00",184544,"2,48,50,640.62",3747
09-Apr-2026,EQ,"140.00","140.00","134.70","138.17","134.70","135.27","136.76","161.48","100.00",97434,"1,33,25,394.76",1720
08-Apr-2026,EQ,"135.00","139.00","131.00","128.08","138.51","138.17","135.52","161.48","100.00",350177,"4,74,57,032.82",3639
07-Apr-2026,EQ,"131.95","132.24","126.90","131.95","128.20","128.08","128.39","161.48","100.00",304274,"3,90,66,832.76",3322
06-Apr-2026,EQ,"127.27","133.89","127.27","125.90","132.70","131.95","130.73","161.48","100.00",509666,"6,66,26,693.05",4908
02-Apr-2026,EQ,"123.11","127.26","121.11","125.11","127.26","125.90","124.34","161.48","100.00",86312,"1,07,31,799.72",1379
01-Apr-2026,EQ,"120.50","126.90","120.50","118.78","124.60","125.11","125.10","161.48","100.00",199589,"2,49,67,865.17",3013
30-Mar-2026,EQ,"126.53","126.53","118.30","127.93","119.00","118.78","121.59","161.48","100.00",255450,"3,10,59,456.91",4473
27-Mar-2026,EQ,"127.19","132.25","125.93","128.47","128.80","127.93","129.46","161.48","100.00",561805,"7,27,31,331.27",5568
25-Mar-2026,EQ,"126.00","131.79","126.00","125.53","127.00","128.47","129.06","161.48","100.00",508629,"6,56,45,886.22",4280
24-Mar-2026,EQ,"126.00","127.36","120.50","125.37","126.00","125.53","122.83","161.48","100.00",493125,"6,05,71,334.85",4452
23-Mar-2026,EQ,"123.75","133.00","119.70","123.54","124.50","125.37","126.23","161.48","100.00",788827,"9,95,75,439.77",11223
20-Mar-2026,EQ,"128.00","129.82","120.75","127.45","123.50","123.54","124.21","161.48","97.97",564403,"7,01,03,909.17",5720
19-Mar-2026,EQ,"125.84","131.29","124.81","127.12","128.00","127.45","128.65","161.48","97.97",431361,"5,54,93,488.74",3775
18-Mar-2026,EQ,"127.04","129.00","126.10","127.04","127.50","127.12","127.09","161.48","97.97",310326,"3,94,40,222.76",4248
17-Mar-2026,EQ,"126.95","130.24","124.25","125.94","127.50","127.04","127.74","161.48","97.97",348251,"4,44,85,072.93",6007
16-Mar-2026,EQ,"128.15","133.29","123.61","131.98","126.00","125.94","126.92","161.48","97.97",399677,"5,07,26,318.32",7103
13-Mar-2026,EQ,"126.00","133.80","123.82","126.32","131.00","131.98","129.27","161.48","97.97",542721,"7,01,55,476.74",6506
12-Mar-2026,EQ,"133.37","133.37","125.41","134.04","127.47","126.32","128.61","161.48","97.97",324118,"4,16,85,647.07",4072
11-Mar-2026,EQ,"133.08","136.90","132.34","133.75","133.00","134.04","134.72","161.48","97.97",180091,"2,42,62,379.58",3495
10-Mar-2026,EQ,"130.58","134.60","130.54","131.04","133.72","133.75","133.09","161.48","97.97",156113,"2,07,76,436.53",2518
09-Mar-2026,EQ,"130.00","134.30","125.40","129.25","131.45","131.04","129.86","161.48","97.97",294379,"3,82,26,712.33",5600
06-Mar-2026,EQ,"131.65","135.00","127.99","132.31","129.25","129.25","131.13","161.48","97.97",294556,"3,86,23,716.06",4564
